tcas,v1,13,7,7,2020-04-25 18:20:55.378722,2020-04-25 18:21:20.309484,0:00:24.930762,1476,132,100,200
tcas,v2,9,21,21,2020-04-25 18:51:07.034676,2020-04-25 18:51:29.440835,0:00:22.406159,1539,69,100,200
tcas,v3,29,42,42,2020-04-25 19:21:47.127476,2020-04-25 19:22:09.425709,0:00:22.298233,1585,23,100,200
tcas,v4,14,6,6,2020-04-25 19:52:18.508978,2020-04-25 19:52:40.899815,0:00:22.390837,1584,24,100,200
tcas,v5,27,39,39,2020-04-25 20:22:52.976915,2020-04-25 20:23:15.760991,0:00:22.784076,1598,10,100,200
tcas,v6,23,7,7,2020-04-25 20:57:09.577088,2020-04-25 20:57:38.945776,0:00:29.368688,1596,12,100,200
tcas,v7,2,52,52,2020-04-25 21:32:49.486997,2020-04-25 21:33:28.268220,0:00:38.781223,1572,36,100,200
tcas,v8,4,38,38,2020-04-25 22:18:11.076923,2020-04-25 22:18:33.381079,0:00:22.304156,1607,1,100,200
tcas,v9,17,19,19,2020-04-25 23:03:29.256255,2020-04-25 23:04:02.820126,0:00:33.563871,1599,9,100,200
tcas,v10,23,26,26,2020-04-26 00:36:50.728687,2020-04-26 00:37:24.437797,0:00:33.709110,1594,14,100,200
tcas,v10_1,24,13,13,2020-04-26 01:22:19.169006,2020-04-26 01:22:43.875138,0:00:24.706132,1596,12,100,200
tcas,v10_2,26,59,59,2020-04-26 01:59:44.028951,2020-04-26 02:00:06.331257,0:00:22.302306,1608,0,100,200
tcas,v11,23,33,33,2020-04-26 02:37:34.841701,2020-04-26 02:37:57.058677,0:00:22.216976,1594,14,100,200
tcas,v11_1,36,14,14,2020-04-26 03:07:49.948671,2020-04-26 03:08:12.136945,0:00:22.188274,1608,0,100,200
tcas,v12,27,43,43,2020-04-26 03:38:11.096066,2020-04-26 03:38:33.338182,0:00:22.242116,1538,70,100,200
tcas,v15,27,61,61,2020-04-26 04:08:57.499616,2020-04-26 04:09:19.778855,0:00:22.279239,1598,10,100,200
tcas,v16,1,39,39,2020-04-26 12:37:11.786890,2020-04-26 12:37:34.217286,0:00:22.430396,1538,70,100,200
tcas,v17,2,39,39,2020-04-26 13:07:51.220308,2020-04-26 13:08:13.531181,0:00:22.310873,1573,35,100,200
