schedule2,v1,44,41,41,2020-04-28 22:24:41.284450,2020-04-28 22:28:31.249246,0:03:49.964796,2645,65,200,150
schedule2,v2,117,85,85,2020-04-29 00:55:03.499861,2020-04-29 00:57:02.337997,0:01:58.838136,2679,31,200,150
schedule2,v3,114,88,88,2020-04-29 02:34:58.203140,2020-04-29 02:37:08.409109,0:02:10.205969,2676,34,200,150
schedule2,v4,25,50,50,2020-04-29 03:49:47.502050,2020-04-29 03:51:15.773748,0:01:28.271698,2708,2,200,150
schedule2,v5,32,128,128,2020-04-29 12:31:40.114234,2020-04-29 12:33:06.342154,0:01:26.227920,2678,32,200,150
schedule2,v6,16,80,80,2020-04-29 13:42:52.159741,2020-04-29 13:44:50.371439,0:01:58.211698,2703,7,200,150
schedule2,v7,115,90,90,2020-04-29 15:09:21.959900,2020-04-29 15:11:06.720339,0:01:44.760439,2679,31,200,150
schedule2,v8,67,20,20,2020-04-29 16:21:25.490891,2020-04-29 16:23:30.807806,0:02:05.316915,2658,31,200,150
schedule2,v10,1,117,118,2020-04-29 17:53:16.617891,2020-04-29 17:55:14.079878,0:01:57.461987,2664,46,200,150
,,,699,,,,,,,,
